go_id	go_term_name
GO:0004557	alpha-galactosidase activity
GO:0005525	GTP binding
GO:0003924	GTPase activity
GO:0031902	late endosome membrane
GO:0007059	chromosome segregation
GO:0005819	spindle
GO:0051607	defense response to virus
GO:0005764	lysosome
GO:0005765	lysosomal membrane
GO:0015698	inorganic anion transport
GO:0031969	chloroplast membrane
GO:0005315	phosphate transmembrane transporter activity
GO:0003998	acylphosphatase activity
GO:0042732	D-xylose metabolic process
GO:0016831	carboxy-lyase activity
GO:0032580	Golgi cisterna membrane
GO:0048040	UDP-glucuronate decarboxylase activity
GO:0005789	endoplasmic reticulum membrane
GO:0051537	2 iron, 2 sulfur cluster binding
GO:0045158	electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity
GO:0003746	translation elongation factor activity
GO:0006414	translational elongation
GO:0003729	mRNA binding
GO:0008422	beta-glucosidase activity
GO:0006817	phosphate ion transport
GO:0015293	symporter activity
GO:0019829	ATPase-coupled monoatomic cation transmembrane transporter activity
GO:0005215	transporter activity
GO:0006812	monoatomic cation transport
GO:0098655	monoatomic cation transmembrane transport
GO:0003955	NAD(P)H dehydrogenase (quinone) activity
GO:0010181	FMN binding
GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors
GO:0003997	acyl-CoA oxidase activity
GO:0005777	peroxisome
GO:0006635	fatty acid beta-oxidation
GO:0031047	regulatory ncRNA-mediated gene silencing
GO:0008283	cell population proliferation
GO:0008083	growth factor activity
GO:0030154	cell differentiation
GO:0007165	signal transduction
GO:0008234	cysteine-type peptidase activity
GO:0090560	2-(3-amino-3-carboxypropyl)histidine synthase activity
GO:0007143	female meiotic nuclear division
GO:0007140	male meiotic nuclear division
GO:0006081	aldehyde metabolic process
GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
GO:0009737	response to abscisic acid
GO:0006418	tRNA aminoacylation for protein translation
GO:0004812	aminoacyl-tRNA ligase activity
GO:0080115	myosin XI tail binding
GO:0008324	monoatomic cation transmembrane transporter activity
GO:0004817	cysteine-tRNA ligase activity
GO:0006423	cysteinyl-tRNA aminoacylation
GO:0004867	serine-type endopeptidase inhibitor activity
GO:0042277	peptide binding
GO:0016413	O-acetyltransferase activity
GO:0004818	glutamate-tRNA ligase activity
GO:0006424	glutamyl-tRNA aminoacylation
GO:0043039	tRNA aminoacylation
GO:0009791	post-embryonic development
GO:0048608	reproductive structure development
GO:0009527	plastid outer membrane
GO:0000160	phosphorelay signal transduction system
GO:0043424	protein histidine kinase binding
GO:0016538	cyclin-dependent protein serine/threonine kinase regulator activity
GO:0051301	cell division
GO:0044772	mitotic cell cycle phase transition
GO:0042393	histone binding
GO:0046481	digalactosyldiacylglycerol synthase activity
GO:0006325	chromatin organization
GO:0006338	chromatin remodeling
GO:0042054	histone methyltransferase activity
GO:0006749	glutathione metabolic process
GO:0051536	iron-sulfur cluster binding
GO:0030245	cellulose catabolic process
GO:0006396	RNA processing
GO:0009691	cytokinin biosynthetic process
GO:0006869	lipid transport
GO:0003873	6-phosphofructo-2-kinase activity
GO:0006000	fructose metabolic process
GO:0006003	fructose 2,6-bisphosphate metabolic process
GO:2001070	starch binding
GO:0005615	extracellular space
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0003755	peptidyl-prolyl cis-trans isomerase activity
GO:0042773	ATP synthesis coupled electron transport
GO:0000103	sulfate assimilation
GO:0004020	adenylylsulfate kinase activity
GO:0019344	cysteine biosynthetic process
GO:0008171	O-methyltransferase activity
GO:0008173	RNA methyltransferase activity
GO:0001510	RNA methylation
GO:0016070	RNA metabolic process
GO:0048437	floral organ development
GO:0033612	receptor serine/threonine kinase binding
GO:0010075	regulation of meristem growth
GO:0048229	gametophyte development
GO:0006511	ubiquitin-dependent protein catabolic process
GO:0003779	actin binding
GO:0008033	tRNA processing
GO:0098552	side of membrane
GO:0003684	damaged DNA binding
GO:0006289	nucleotide-excision repair
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0003979	UDP-glucose 6-dehydrogenase activity
GO:0006065	UDP-glucuronate biosynthetic process
GO:0005484	SNAP receptor activity
GO:0016192	vesicle-mediated transport
GO:0031201	SNARE complex
GO:0061025	membrane fusion
GO:0045892	negative regulation of DNA-templated transcription
GO:0051015	actin filament binding
GO:0030036	actin cytoskeleton organization
GO:0045010	actin nucleation
GO:0030008	TRAPP complex
GO:0048193	Golgi vesicle transport
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity
GO:0006656	phosphatidylcholine biosynthetic process
GO:0031262	Ndc80 complex
GO:0000775	chromosome, centromeric region
GO:0000776	kinetochore
GO:0004806	triacylglycerol lipase activity
GO:0046034	ATP metabolic process
GO:0033180	proton-transporting V-type ATPase, V1 domain
GO:0046961	proton-transporting ATPase activity, rotational mechanism
GO:0051693	actin filament capping
GO:0051017	actin filament bundle assembly
GO:0030915	Smc5-Smc6 complex
GO:0006974	DNA damage response
GO:0006310	DNA recombination
GO:0004793	threonine aldolase activity
GO:0006567	threonine catabolic process
GO:0044283	small molecule biosynthetic process
GO:0097027	ubiquitin-protein transferase activator activity
GO:1904668	positive regulation of ubiquitin protein ligase activity
GO:0010997	anaphase-promoting complex binding
GO:0005542	folic acid binding
GO:0003993	acid phosphatase activity
GO:0070897	transcription preinitiation complex assembly
GO:0006352	DNA-templated transcription initiation
GO:0048364	root development
GO:0006865	amino acid transport
GO:0090599	alpha-glucosidase activity
GO:0031090	organelle membrane
GO:0002229	defense response to oomycetes
GO:0004640	phosphoribosylanthranilate isomerase activity
GO:0006568	tryptophan metabolic process
GO:0009073	aromatic amino acid family biosynthetic process
GO:0019318	hexose metabolic process
GO:0090447	glycerol-3-phosphate 2-O-acyltransferase activity
GO:0010143	cutin biosynthetic process
GO:0006816	calcium ion transport
GO:0005743	mitochondrial inner membrane
GO:0005758	mitochondrial intermembrane space
GO:0006851	mitochondrial calcium ion transmembrane transport
GO:0004459	L-lactate dehydrogenase activity
GO:0015066	alpha-amylase inhibitor activity
GO:0048038	quinone binding
GO:0051539	4 iron, 4 sulfur cluster binding
GO:0006457	protein folding
GO:0009408	response to heat
GO:0031072	heat shock protein binding
GO:0051082	unfolded protein binding
GO:0030544	Hsp70 protein binding
GO:0003680	minor groove of adenine-thymine-rich DNA binding
GO:0005741	mitochondrial outer membrane
GO:0008352	katanin complex
GO:0051013	microtubule severing
GO:0006621	protein retention in ER lumen
GO:0046923	ER retention sequence binding
GO:0005618	cell wall
GO:0010411	xyloglucan metabolic process
GO:0016762	xyloglucan:xyloglucosyl transferase activity
GO:0042546	cell wall biogenesis
GO:0071555	cell wall organization
GO:0044042	glucan metabolic process
GO:0032454	histone H3K9 demethylase activity
GO:0001522	pseudouridine synthesis
GO:0009982	pseudouridine synthase activity
GO:0003682	chromatin binding
GO:0003886	DNA (cytosine-5-)-methyltransferase activity
GO:0006346	DNA methylation-dependent constitutive heterochromatin formation
GO:0010268	brassinosteroid homeostasis
GO:0030286	dynein complex
GO:0007017	microtubule-based process
GO:0009639	response to red or far red light
GO:0043130	ubiquitin binding
GO:0009416	response to light stimulus
GO:0006417	regulation of translation
GO:0015297	antiporter activity
GO:0042910	xenobiotic transmembrane transporter activity
GO:1990961	xenobiotic detoxification by transmembrane export across the plasma membrane
GO:0015369	calcium:proton antiporter activity
GO:0005665	RNA polymerase II, core complex
GO:0006366	transcription by RNA polymerase II
GO:0003899	DNA-directed 5'-3' RNA polymerase activity
GO:0000428	DNA-directed RNA polymerase complex
GO:0009506	plasmodesma
GO:0016772	transferase activity, transferring phosphorus-containing groups
GO:0016310	phosphorylation
GO:0019955	cytokine binding
GO:0004843	cysteine-type deubiquitinase activity
GO:0016579	protein deubiquitination
GO:0007031	peroxisome organization
GO:0005778	peroxisomal membrane
GO:1990538	xylan O-acetyltransferase activity
GO:1990937	xylan acetylation
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific
GO:0030570	pectate lyase activity
GO:0006004	fucose metabolic process
GO:0019953	sexual reproduction
GO:0008308	voltage-gated monoatomic anion channel activity
GO:0006873	intracellular monoatomic ion homeostasis
GO:0098656	monoatomic anion transmembrane transport
GO:0016836	hydro-lyase activity
GO:0051091	positive regulation of DNA-binding transcription factor activity
GO:0008610	lipid biosynthetic process
GO:0006527	arginine catabolic process
GO:0008295	spermidine biosynthetic process
GO:0050291	sphingosine N-acyltransferase activity
GO:0046513	ceramide biosynthetic process
GO:0005096	GTPase activator activity
GO:0060147	regulation of post-transcriptional gene silencing
GO:0031011	Ino80 complex
GO:0010016	shoot system morphogenesis
GO:0016042	lipid catabolic process
GO:0006897	endocytosis
GO:0035145	exon-exon junction complex
GO:0051028	mRNA transport
GO:0010333	terpene synthase activity
GO:0016114	terpenoid biosynthetic process
GO:0045944	positive regulation of transcription by RNA polymerase II
GO:0009407	toxin catabolic process
GO:0005227	calcium-activated cation channel activity
GO:0005385	zinc ion transmembrane transporter activity
GO:0071577	zinc ion transmembrane transport
GO:0000041	transition metal ion transport
GO:0005545	1-phosphatidylinositol binding
GO:0030136	clathrin-coated vesicle
GO:0048268	clathrin coat assembly
GO:0030276	clathrin binding
GO:0072583	clathrin-dependent endocytosis
GO:0005543	phospholipid binding
GO:0005216	monoatomic ion channel activity
GO:0005249	voltage-gated potassium channel activity
GO:0006813	potassium ion transport
GO:0034702	monoatomic ion channel complex
GO:0080188	gene silencing by siRNA-directed DNA methylation
GO:0071786	endoplasmic reticulum tubular network organization
GO:0019783	ubiquitin-like protein peptidase activity
GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity
GO:0016773	phosphotransferase activity, alcohol group as acceptor
GO:0004396	hexokinase activity
GO:0001678	intracellular glucose homeostasis
GO:0005536	D-glucose binding
GO:0006096	glycolytic process
GO:0010287	plastoglobule
GO:0003725	double-stranded RNA binding
GO:0009528	plastid inner membrane
GO:0016628	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor
GO:0003885	D-arabinono-1,4-lactone oxidase activity
GO:0019853	L-ascorbic acid biosynthetic process
GO:0008250	oligosaccharyltransferase complex
GO:0004830	tryptophan-tRNA ligase activity
GO:0006436	tryptophanyl-tRNA aminoacylation
GO:0017148	negative regulation of translation
GO:0030598	rRNA N-glycosylase activity
GO:0045041	protein import into mitochondrial intermembrane space
GO:0005782	peroxisomal matrix
GO:0004072	aspartate kinase activity
GO:0009088	threonine biosynthetic process
GO:0005654	nucleoplasm
GO:0043021	ribonucleoprotein complex binding
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0030687	preribosome, large subunit precursor
GO:0030515	snoRNA binding
GO:0031428	box C/D methylation guide snoRNP complex
GO:0016298	lipase activity
GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport
GO:0042147	retrograde transport, endosome to Golgi
GO:0000938	GARP complex
GO:0005247	voltage-gated chloride channel activity
GO:0042548	regulation of photosynthesis, light reaction
GO:0005254	chloride channel activity
GO:0015629	actin cytoskeleton
GO:0030042	actin filament depolymerization
GO:0007015	actin filament organization
GO:0015743	malate transport
GO:0008381	mechanosensitive monoatomic ion channel activity
GO:0050982	detection of mechanical stimulus
GO:0030968	endoplasmic reticulum unfolded protein response
GO:0036503	ERAD pathway
GO:0033897	ribonuclease T2 activity
GO:0016717	oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water
GO:0009699	phenylpropanoid biosynthetic process
GO:0000976	transcription cis-regulatory region binding
GO:0010152	pollen maturation
GO:0005801	cis-Golgi network
GO:0004857	enzyme inhibitor activity
GO:0006368	transcription elongation by RNA polymerase II
GO:0008081	phosphoric diester hydrolase activity
GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
GO:0048731	system development
GO:0015079	potassium ion transmembrane transporter activity
GO:0004807	triose-phosphate isomerase activity
GO:0016052	carbohydrate catabolic process
GO:0050832	defense response to fungus
GO:0031640	killing of cells of another organism
GO:0006086	acetyl-CoA biosynthetic process from pyruvate
GO:0045254	pyruvate dehydrogenase complex
GO:0070772	PAS complex
GO:0006661	phosphatidylinositol biosynthetic process
GO:0006260	DNA replication
GO:0008107	galactoside 2-alpha-L-fucosyltransferase activity
GO:0061578	K63-linked deubiquitinase activity
GO:0046933	proton-transporting ATP synthase activity, rotational mechanism
GO:0004713	protein tyrosine kinase activity
GO:0019901	protein kinase binding
GO:0006694	steroid biosynthetic process
GO:0008202	steroid metabolic process
GO:0016126	sterol biosynthetic process
GO:0015630	microtubule cytoskeleton
GO:0000911	cytokinesis by cell plate formation
GO:0000914	phragmoplast assembly
GO:0000398	mRNA splicing, via spliceosome
GO:0030628	pre-mRNA 3'-splice site binding
GO:0009685	gibberellin metabolic process
GO:0012501	programmed cell death
GO:2000031	regulation of salicylic acid mediated signaling pathway
GO:0004671	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity
GO:0006481	C-terminal protein methylation
GO:0034219	carbohydrate transmembrane transport
GO:0051119	sugar transmembrane transporter activity
GO:0015780	nucleotide-sugar transmembrane transport
GO:0004519	endonuclease activity
GO:0099402	plant organ development
GO:0006644	phospholipid metabolic process
GO:0005669	transcription factor TFIID complex
GO:0019684	photosynthesis, light reaction
GO:0045156	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity
GO:0006887	exocytosis
GO:0005546	phosphatidylinositol-4,5-bisphosphate binding
GO:0000974	Prp19 complex
GO:0002376	immune system process
GO:0045087	innate immune response
GO:0008252	nucleotidase activity
GO:0015211	purine nucleoside transmembrane transporter activity
GO:0015860	purine nucleoside transmembrane transport
GO:0005345	purine nucleobase transmembrane transporter activity
GO:0006863	purine nucleobase transport
GO:1904823	purine nucleobase transmembrane transport
GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c
GO:0045275	respiratory chain complex III
GO:0009060	aerobic respiration
GO:0008643	carbohydrate transport
GO:0009435	NAD biosynthetic process
GO:0016226	iron-sulfur cluster assembly
GO:0019363	pyridine nucleotide biosynthetic process
GO:0008047	enzyme activator activity
GO:0019805	quinolinate biosynthetic process
GO:0051176	positive regulation of sulfur metabolic process
GO:0070828	heterochromatin organization
GO:0000792	heterochromatin
GO:0043461	proton-transporting ATP synthase complex assembly
GO:0034314	Arp2/3 complex-mediated actin nucleation
GO:0005885	Arp2/3 protein complex
GO:0030833	regulation of actin filament polymerization
GO:0090729	toxin activity
GO:0035821	modulation of process of another organism
GO:0051258	protein polymerization
GO:0008271	secondary active sulfate transmembrane transporter activity
GO:1902358	sulfate transmembrane transport
GO:0031625	ubiquitin protein ligase binding
GO:0006913	nucleocytoplasmic transport
GO:0008360	regulation of cell shape
GO:0009058	biosynthetic process
GO:0016881	acid-amino acid ligase activity
GO:0010112	regulation of systemic acquired resistance
GO:0051726	regulation of cell cycle
GO:0046976	histone H3K27 methyltransferase activity
GO:0006275	regulation of DNA replication
GO:0030163	protein catabolic process
GO:0006515	protein quality control for misfolded or incompletely synthesized proteins
GO:0016485	protein processing
GO:2000280	regulation of root development
GO:0005085	guanyl-nucleotide exchange factor activity
GO:0004129	cytochrome-c oxidase activity
GO:0045277	respiratory chain complex IV
GO:0004170	dUTP diphosphatase activity
GO:0006226	dUMP biosynthetic process
GO:0046081	dUTP catabolic process
GO:0009117	nucleotide metabolic process
GO:0042973	glucan endo-1,3-beta-D-glucosidase activity
GO:0005680	anaphase-promoting complex
GO:0004177	aminopeptidase activity
GO:0003714	transcription corepressor activity
GO:0009269	response to desiccation
GO:0045048	protein insertion into ER membrane
GO:0007186	G protein-coupled receptor signaling pathway
GO:0031683	G-protein beta/gamma-subunit complex binding
GO:0005834	heterotrimeric G-protein complex
GO:0019001	guanyl nucleotide binding
GO:0001664	G protein-coupled receptor binding
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway
GO:0009809	lignin biosynthetic process
GO:0004673	protein histidine kinase activity
GO:0006406	mRNA export from nucleus
GO:0000347	THO complex
GO:0017004	cytochrome complex assembly
GO:0015232	heme transmembrane transporter activity
GO:0015886	heme transport
GO:0004650	polygalacturonase activity
GO:0006506	GPI anchor biosynthetic process
GO:0009738	abscisic acid-activated signaling pathway
GO:0042803	protein homodimerization activity
GO:0004864	protein phosphatase inhibitor activity
GO:0005901	caveola
GO:0009611	response to wounding
GO:0004749	ribose phosphate diphosphokinase activity
GO:0009156	ribonucleoside monophosphate biosynthetic process
GO:0009165	nucleotide biosynthetic process
GO:0003887	DNA-directed DNA polymerase activity
GO:0009360	DNA polymerase III complex
GO:0071897	DNA biosynthetic process
GO:0008641	ubiquitin-like modifier activating enzyme activity
GO:0036211	protein modification process
GO:0031123	RNA 3'-end processing
GO:1990817	poly(A) RNA polymerase activity
GO:0031507	heterochromatin formation
GO:0009055	electron transfer activity
GO:0019903	protein phosphatase binding
GO:0008483	transaminase activity
GO:0047254	2,4-dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2-D-glucosyltransferase activity
GO:0003954	NADH dehydrogenase activity
GO:0006116	NADH oxidation
GO:0045300	stearoyl-[ACP] desaturase activity
GO:0009851	auxin biosynthetic process
GO:0004031	aldehyde oxidase activity
GO:2000028	regulation of photoperiodism, flowering
GO:0000105	L-histidine biosynthetic process
GO:0004635	phosphoribosyl-AMP cyclohydrolase activity
GO:0004636	phosphoribosyl-ATP diphosphatase activity
GO:0016758	hexosyltransferase activity
GO:0009247	glycolipid biosynthetic process
