gene_id	ko_list
TraesCS1A02G035900	K13457
TraesCS1A02G036300	K20843
TraesCS1A02G037400	K26731
TraesCS1A02G037600	K15397
TraesCS1A02G037700	K10775
TraesCS1A02G037800	K10775
TraesCS1A02G038100	K11251
TraesCS1A02G038200	K11251
TraesCS1A02G038300	K01507
TraesCS1A02G038400	K24070
TraesCS1A02G039200	K24135
TraesCS1A02G039800	K15397
TraesCS1A02G040400	K09250
TraesCS1A02G040600	K01810
TraesCS1A02G040900	K15397
TraesCS1A02G041700	K19861
TraesCS1A02G042200	K12449
TraesCS1A02G042700	K09422
TraesCS1A02G043100	K06934
TraesCS1A02G043200	K13115
TraesCS1A02G043600	K15077
TraesCS1A02G043800	K25829
TraesCS1A02G043900	K05909
TraesCS1A02G044200	K14004
TraesCS1A02G044500	K20102
TraesCS1A02G044600	K01633
TraesCS1A02G044800	K15276
TraesCS1A02G044900	K09264
TraesCS1A02G045000	K09264
TraesCS1A02G045400	K12373
TraesCS1A02G045700	K00799;K21888
TraesCS1A02G046400	K23877
TraesCS1A02G046500	K22755
TraesCS1A02G046600	K22755
TraesCS1A02G047000	K01537
TraesCS1A02G047200	K03549
TraesCS1A02G048300	K14536
TraesCS1A02G048600	K18723
TraesCS1A02G049300	K14301
TraesCS1A02G049600	K05681
TraesCS1A02G050100	K00001
TraesCS1A02G050200	K01593
TraesCS1A02G050400	K15382
TraesCS1A02G051100	K10268
TraesCS1A02G051800	K02069
TraesCS1A02G051900	K27319
TraesCS1A02G054300	K11671
TraesCS1A02G054400	K10398
TraesCS1A02G054500	K17710
TraesCS1A02G054700	K17710
TraesCS1A02G054800	K17710
TraesCS1A02G055400	K01147
TraesCS1A02G055800	K17710
TraesCS1A02G056000	K17710
TraesCS1A02G056600	K01240
TraesCS1A02G057000	K10760
TraesCS1A02G057200	K02492
TraesCS1A02G058300	K02864
TraesCS1A02G058400	K09284
TraesCS1A02G058500	K10869
TraesCS1A02G058800	K26385
TraesCS1A02G058900	K22935
TraesCS1A02G059200	K06901
TraesCS1A02G059500	K10590
TraesCS1A02G060100	K05290
TraesCS1A02G060500	K17710
TraesCS1A02G060600	K28097
TraesCS1A02G060700	K14852
TraesCS1A02G060800	K04506
TraesCS1A02G061500	K13436
TraesCS1A02G062400	K06133
TraesCS1A02G063500	K17808
TraesCS1A02G063600	K13960
TraesCS1A02G064000	K20869
TraesCS1A02G064800	K00697;K16055
TraesCS1A02G064900	K24193
TraesCS1A02G065300	K11801
TraesCS1A02G065400	K14297
TraesCS1A02G065600	K14293
TraesCS1A02G066000	K11492
TraesCS1A02G066400	K00382
TraesCS1A02G066700	K13430
TraesCS1A02G066800	K00253
TraesCS1A02G067000	K17710
TraesCS1A02G067200	K15031
TraesCS1A02G067300	K14792
TraesCS1A02G067400	K17710
TraesCS1A02G067600	K17710
TraesCS1A02G069400	K07952
TraesCS1A02G070200	K28523
TraesCS1A02G070300	K09510
TraesCS1A02G070400	K13424
TraesCS1A02G070500	K00815
TraesCS1A02G070700	K10523
TraesCS1A02G070800	K10523
TraesCS1A02G071000	K10523
TraesCS1A02G071500	K22138
TraesCS1A02G071700	K09835
TraesCS1A02G071800	K14689
TraesCS1A02G072000	K01919
TraesCS1A02G072100	K01179
TraesCS1A02G072200	K00818;K00821
TraesCS1A02G072300	K01179
TraesCS1A02G072400	K10523
TraesCS1A02G072600	K25786
TraesCS1A02G072900	K10523
TraesCS1A02G073000	K17911
TraesCS1A02G073200	K13466
TraesCS1A02G073400	K23002
TraesCS1A02G073500	K17911
TraesCS1A02G073700	K17710
TraesCS1A02G073900	K17098
TraesCS1A02G074400	K17569
TraesCS1A02G074900	K17710
TraesCS1A02G075000	K01897
TraesCS1A02G075600	K28090
TraesCS1A02G075700	K15283
TraesCS1A02G075900	K28777
TraesCS1A02G076100	K04751
TraesCS1A02G076200	K09422
TraesCS1A02G077200	K27413
TraesCS1A02G077500	K14803
TraesCS1A02G077600	K20827
TraesCS1A02G077700	K00430
TraesCS1A02G077800	K13946
TraesCS1A02G077900	K00430
TraesCS1A02G078000	K00430
TraesCS1A02G078100	K00430
TraesCS1A02G078200	K00430
TraesCS1A02G078400	K00430
TraesCS1A02G078600	K00430
TraesCS1A02G078800	K00799
TraesCS1A02G078900	K00799
TraesCS1A02G079400	K00430
TraesCS1A02G079500	K00430
TraesCS1A02G079700	K13436
TraesCS1A02G079900	K11254
TraesCS1A02G080300	K02835
TraesCS1A02G080400	K10523
TraesCS1A02G080500	K07198
TraesCS1A02G080600	K07198
TraesCS1A02G080700	K07198
TraesCS1A02G081300	K05658
TraesCS1A02G081400	K22849
TraesCS1A02G082000	K08245
TraesCS1A02G082200	K19222
TraesCS1A02G082400	K20547
TraesCS1A02G082600	K11648
TraesCS1A02G082700	K14484
TraesCS1A02G083000	K12126
TraesCS1A02G083100	K09422
TraesCS1A02G083400	K12876
TraesCS1A02G083600	K03104
TraesCS1A02G084000	K19861
TraesCS1A02G084300	K15031
TraesCS1A02G085000	K07466
TraesCS1A02G085600	K00814
TraesCS1A02G086100	K16297
TraesCS1A02G086300	K05391
TraesCS1A02G086600	K14840
TraesCS1A02G086800	K11801
TraesCS1A02G086900	K25162
TraesCS1A02G087500	K01191
TraesCS1A02G088000	K01090
TraesCS1A02G088200	K10844
TraesCS1A02G088600	K07024
TraesCS1A02G088700	K01179
TraesCS1A02G089500	K05933
TraesCS1A02G089600	K05933
TraesCS1A02G089800	K13667
TraesCS1A02G089900	K03347
TraesCS1A02G090000	K03347
TraesCS1A02G090100	K11583
TraesCS1A02G090300	K03354
TraesCS1A02G090400	K06998
TraesCS1A02G090500	K01520
TraesCS1A02G090600	K06997
TraesCS1A02G091100	K11654
TraesCS1A02G091500	K00703
TraesCS1A02G092700	K01491
TraesCS1A02G092900	K02987
TraesCS1A02G093000	K05770
TraesCS1A02G093100	K10523
TraesCS1A02G093200	K14800
TraesCS1A02G093500	K10523
TraesCS1A02G093700	K10523
TraesCS1A02G094000	K20891
TraesCS1A02G094900	K10775
TraesCS1A02G095000	K10393
TraesCS1A02G095100	K28593
TraesCS1A02G095200	K16571
TraesCS1A02G095500	K06269
TraesCS1A02G095800	K01255
TraesCS1A02G096100	K15141
TraesCS1A02G096200	K10527
TraesCS1A02G096300	K14431
TraesCS1A02G096500	K02883
TraesCS1A02G096600	K14509
TraesCS1A02G097000	K00345
TraesCS1A02G097100	K03026
TraesCS1A02G097200	K22074
TraesCS1A02G097400	K15042
TraesCS1A02G097700	K09584
TraesCS1A02G097900	K03884
TraesCS1A02G098500	K02195
TraesCS1A02G099000	K13348
TraesCS1A02G099100	K20923
TraesCS1A02G099300	K09517
TraesCS1A02G099400	K10389
TraesCS1A02G099500	K00382
TraesCS1A02G100100	K01061
TraesCS1A02G100600	K25896
TraesCS1A02G101100	K10523
TraesCS1A02G101900	K17411
TraesCS1A02G102400	K28363
TraesCS1A02G102500	K00215
TraesCS1A02G102600	K01893
TraesCS1A02G102700	K00799
TraesCS1A02G102800	K00799
TraesCS1A02G102900	K00799
TraesCS1A02G103000	K00799
TraesCS1A02G103100	K17479
TraesCS1A02G103500	K07407
TraesCS1A02G103600	K07407
TraesCS1A02G104100	K00430
TraesCS1A02G104200	K00430
TraesCS1A02G104300	K00430
TraesCS1A02G104500	K07466
TraesCS1A02G104700	K11374
TraesCS1A02G104800	K14213
TraesCS1A02G105400	K02977
TraesCS1A02G105500	K18624
TraesCS1A02G105600	K00382
TraesCS1A02G105700	K20102
TraesCS1A02G106000	K26752
TraesCS1A02G106100	K10589
TraesCS1A02G106200	K04125
TraesCS1A02G106300	K16250
TraesCS1A02G106800	K16253
TraesCS1A02G106900	K00485
TraesCS1A02G107000	K15601
TraesCS1A02G107100	K01181
TraesCS1A02G107200	K23025
TraesCS1A02G107300	K17491
TraesCS1A02G107400	K05909
TraesCS1A02G107800	K01887
TraesCS1A02G107900	K03127
TraesCS1A02G108100	K13435
TraesCS1A02G108400	K00430
TraesCS1A02G109500	K17583
TraesCS1A02G110200	K26274
TraesCS1A02G111000	K14709
TraesCS1A02G111400	K01358
TraesCS1A02G111600	K03858
TraesCS1A02G112100	K15285
TraesCS1A02G112400	K03671
TraesCS1A02G112500	K02866
TraesCS1A02G112700	K22991
TraesCS1A02G112800	K03008
TraesCS1A02G112900	K00412
TraesCS1A02G113000	K02111
TraesCS1A02G113200	K01126
TraesCS1A02G113300	K01126
TraesCS1A02G113400	K16903
TraesCS1A02G113600	K16903
TraesCS1A02G115000	K06195
TraesCS1A02G115100	K00565
TraesCS1A02G115200	K15283
TraesCS1A02G115300	K01115
TraesCS1A02G115500	K14684
TraesCS1A02G116000	K03979
TraesCS1A02G116200	K10999
TraesCS1A02G116500	K18192
TraesCS1A02G117300	K11420
TraesCS1A02G117500	K24194
TraesCS1A02G117600	K17710
TraesCS1A02G117800	K20716
TraesCS1A02G118300	K11584
TraesCS1A02G118400	K14484
TraesCS1A02G118700	K12850
TraesCS1A02G119400	K19707
TraesCS1A02G119900	K04120
TraesCS1A02G120100	K09489
TraesCS1A02G120200	K09489
TraesCS1A02G120900	K00760
TraesCS1A02G121000	K09272
TraesCS1A02G121200	K17710
TraesCS1A02G121500	K28581
TraesCS1A02G121700	K08790
TraesCS1A02G122000	K08234
TraesCS1A02G122300	K14490
TraesCS1A02G122500	K00029
TraesCS1A02G122600	K14484
TraesCS1A02G122700	K02739
TraesCS1A02G122800	K00844
TraesCS1A02G123000	K13989
TraesCS1A02G123600	K01409
TraesCS1A02G124100	K20359
TraesCS1A02G124200	K00430
TraesCS1A02G124300	K01184
TraesCS1A02G124600	K15104
TraesCS1A02G125000	K14502
TraesCS1A02G125100	K02868
TraesCS1A02G125300	K11155
TraesCS1A02G125500	K14709
TraesCS1A02G125800	K09264
TraesCS1A02G126000	K00670
TraesCS1A02G126300	K23741
TraesCS1A02G126400	K04125
TraesCS1A02G126800	K14496
TraesCS1A02G126900	K05681
TraesCS1A02G127000	K26405
TraesCS1A02G127500	K26672
TraesCS1A02G127600	K11273
TraesCS1A02G128600	K11093
TraesCS1A02G129100	K02993
TraesCS1A02G129400	K02542
TraesCS1A02G129500	K10581
TraesCS1A02G129600	K15382
TraesCS1A02G129800	K03094
TraesCS1A02G130000	K02518
TraesCS1A02G130100	K03040
TraesCS1A02G130400	K02715
TraesCS1A02G130600	K17262
TraesCS1A02G130700	K02324
TraesCS1A02G130800	K13091
TraesCS1A02G131200	K03122
TraesCS1A02G131600	K04424
TraesCS1A02G131700	K04079
TraesCS1A02G132400	K11251
TraesCS1A02G132600	K14802
TraesCS1A02G132700	K03104
TraesCS1A02G133100	K04043
TraesCS1A02G133200	K08286
TraesCS1A02G133400	K07238
TraesCS1A02G133700	K23562
TraesCS1A02G133800	K11446
TraesCS1A02G133900	K23877
TraesCS1A02G134000	K13448;K13974
TraesCS1A02G134100	K15378
TraesCS1A02G134500	K06173
TraesCS1A02G134900	K01858
TraesCS1A02G135100	K08735
TraesCS1A02G135300	K10706
TraesCS1A02G135700	K01772
TraesCS1A02G135800	K09791
TraesCS1A02G136100	K03809
TraesCS1A02G136400	K04506
TraesCS1A02G136500	K08869
TraesCS1A02G136600	K21444
TraesCS1A02G136800	K07056
TraesCS1A02G136900	K20891
TraesCS1A02G137000	K12591
TraesCS1A02G137200	K00703
TraesCS1A02G137400	K28516
TraesCS1A02G137500	K27471
TraesCS1A02G137900	K12603
TraesCS1A02G138200	K06062
TraesCS1A02G138300	K06627
TraesCS1A02G138500	K03754
TraesCS1A02G138600	K03138
TraesCS1A02G138700	K06685
TraesCS1A02G138800	K02136
TraesCS1A02G139100	K19367
TraesCS1A02G139200	K13508
TraesCS1A02G139300	K00472
TraesCS1A02G139400	K03514;K13291;K14079
TraesCS1A02G139500	K22381
TraesCS1A02G139600	K03120
TraesCS1A02G139700	K04683
TraesCS1A02G140200	K02950
TraesCS1A02G140300	K00330;K03880
TraesCS1A02G140400	K02950
TraesCS1A02G140500	K00330;K03880
TraesCS1A02G140900	K00927;K03439
TraesCS1A02G141700	K24997
TraesCS1A02G141800	K09286
TraesCS1A02G141900	K25840
TraesCS1A02G142000	K27952
TraesCS1A02G142400	K03893
TraesCS1A02G142600	K10576
TraesCS1A02G143000	K01915
TraesCS1A02G143100	K07910
TraesCS1A02G143300	K10144
TraesCS1A02G143400	K14572
TraesCS1A02G143500	K12831
TraesCS1A02G143600	K01728
TraesCS1A02G143800	K01519
TraesCS1A02G143900	K07513
TraesCS1A02G144000	K10779
TraesCS1A02G144500	K20888
TraesCS1A02G144600	K20888
TraesCS1A02G144900	K10523
TraesCS1A02G145000	K04077
TraesCS1A02G145100	K01883
TraesCS1A02G145800	K28522
TraesCS1A02G146200	K24752
TraesCS1A02G146600	K20884
TraesCS1A02G146900	K22382
TraesCS1A02G147000	K02889
TraesCS1A02G147100	K01177
TraesCS1A02G147300	K01177
TraesCS1A02G147700	K02867
TraesCS1A02G148000	K10599
TraesCS1A02G148300	K03539
TraesCS1A02G148400	K02894
TraesCS1A02G148500	K02707
TraesCS1A02G148600	K02708
TraesCS1A02G148700	K02713
TraesCS1A02G148800	K02711
TraesCS1A02G149100	K13345
TraesCS1A02G149200	K03259
TraesCS1A02G149300	K10999
TraesCS1A02G149800	K27538
TraesCS1A02G150100	K13466
TraesCS1A02G150800	K15404
TraesCS1A02G150900	K15404
TraesCS1A02G151000	K01725
TraesCS1A02G151100	K14442;K21843
TraesCS1A02G151200	K21843
TraesCS1A02G151400	K28532
TraesCS1A02G151500	K01866
TraesCS1A02G151600	K22762
TraesCS1A02G152000	K24760
TraesCS1A02G152100	K15397
TraesCS1A02G152200	K17108
TraesCS1A02G152300	K13457
TraesCS1A02G152500	K11718
TraesCS1A02G152600	K01166
TraesCS1A02G152800	K01166
TraesCS1A02G152900	K01952
TraesCS1A02G153000	K17756
TraesCS1A02G153100	K17756
TraesCS1A02G153300	K20069
TraesCS1A02G153400	K08790
TraesCS1A02G153600	K12192
TraesCS1A02G153900	K11583
TraesCS1A02G154300	K25203
TraesCS1A02G154700	K15436
TraesCS1A02G154800	K04079
TraesCS1A02G155200	K00025
TraesCS1A02G155300	K09422
TraesCS1A02G156000	K17710
TraesCS1A02G156100	K22522
TraesCS1A02G156300	K17805
TraesCS1A02G156400	K15285
TraesCS1A02G156600	K14486
TraesCS1A02G156700	K02950
TraesCS1A02G157100	K02992
TraesCS1A02G157200	K00343;K05573
TraesCS1A02G157300	K03882
TraesCS1A02G157500	K09338
TraesCS1A02G158500	K17408
TraesCS1A02G158700	K17267
TraesCS1A02G158800	K01262
TraesCS1A02G159000	K07192
TraesCS1A02G159100	K02962
TraesCS1A02G159300	K01527
TraesCS1A02G159600	K00279
TraesCS1A02G160000	K17710
TraesCS1A02G160100	K02881
TraesCS1A02G160500	K12824
TraesCS1A02G160600	K07735
TraesCS1A02G160900	K11592
TraesCS1A02G161300	K06950
TraesCS1A02G161400	K15402
TraesCS1A02G161900	K12859
TraesCS1A02G162200	K10867
TraesCS1A02G162400	K11982
TraesCS1A02G162600	K23541
TraesCS1A02G162800	K10357
TraesCS1A02G163100	K20298
TraesCS1A02G163200	K04797
TraesCS1A02G163400	K03002
TraesCS1A02G163900	K14833
TraesCS1A02G164000	K12200
TraesCS1A02G164200	K21444
TraesCS1A02G164300	K18643
TraesCS1A02G164400	K15685
TraesCS1A02G164500	K05681
TraesCS1A02G164800	K07407
TraesCS1A02G164900	K07407
TraesCS1A02G165100	K02707
TraesCS1A02G165200	K02713
TraesCS1A02G165400	K09873
TraesCS1A02G166000	K02977
TraesCS1A02G166500	K00430
TraesCS1A02G166900	K10357
TraesCS1A02G167200	K28624
TraesCS1A02G167400	K10727
TraesCS1A02G168100	K09646
TraesCS1A02G168500	K10251
TraesCS1A02G168600	K20858
TraesCS1A02G168900	K07390
TraesCS1A02G169300	K25840
TraesCS1A02G169400	K09422
TraesCS1A02G170100	K10436
TraesCS1A02G170300	K20310
TraesCS1A02G170500	K12855
TraesCS1A02G170900	K00472
TraesCS1A02G171000	K00218
TraesCS1A02G171100	K25163
TraesCS1A02G171200	K00655
TraesCS1A02G171500	K13157
TraesCS1A02G171700	K11437
TraesCS1A02G172100	K10747
TraesCS1A02G172300	K07933
TraesCS1A02G173100	K02492
TraesCS1A02G173200	K17278
TraesCS1A02G173400	K17278
TraesCS1A02G173700	K01930
TraesCS1A02G173800	K19861
TraesCS1A02G173900	K22848
TraesCS1A02G174000	K00028;K00029
TraesCS1A02G174600	K12614
TraesCS1A02G175700	K24634;K28681
TraesCS1A02G175800	K28610
TraesCS1A02G175900	K09531
TraesCS1A02G176300	K25796
TraesCS1A02G176500	K11093
TraesCS1A02G176900	K00311
TraesCS1A02G177100	K24184
TraesCS1A02G177300	K24184
TraesCS1A02G177500	K09874
TraesCS1A02G177600	K11498
TraesCS1A02G177800	K09755
TraesCS1A02G178300	K09649
TraesCS1A02G178400	K13412
TraesCS1A02G178700	K14488
TraesCS1A02G179000	K10355
TraesCS1A02G179700	K07456
TraesCS1A02G180100	K25789
TraesCS1A02G180200	K21767
TraesCS1A02G180300	K01265
TraesCS1A02G180800	K05275
TraesCS1A02G181000	K01761
TraesCS1A02G181500	K23490
TraesCS1A02G181900	K08835
TraesCS1A02G182000	K10849
TraesCS1A02G182100	K01051
TraesCS1A02G182400	K24175
TraesCS1A02G182500	K17794
TraesCS1A02G182700	K18726
TraesCS1A02G182900	K27906
TraesCS1A02G183000	K01194
TraesCS1A02G183100	K05765
TraesCS1A02G183800	K00106
TraesCS1A02G183900	K17108
TraesCS1A02G184300	K22763
TraesCS1A02G184600	K09571
TraesCS1A02G184800	K26221
TraesCS1A02G185900	K12842
TraesCS1A02G186000	K20557
TraesCS1A02G186100	K00799
TraesCS1A02G186200	K00799
TraesCS1A02G186300	K00799
TraesCS1A02G186400	K00799
TraesCS1A02G186500	K00799
TraesCS1A02G186600	K00799
TraesCS1A02G186700	K00799
TraesCS1A02G186800	K00799
TraesCS1A02G187000	K00799
TraesCS1A02G187400	K01115
TraesCS1A02G187500	K15403
TraesCS1A02G187900	K09286
TraesCS1A02G188000	K05359
TraesCS1A02G188100	K03327
TraesCS1A02G188800	K12175
TraesCS1A02G188900	K27605
TraesCS1A02G189000	K27414
TraesCS1A02G189100	K19044
TraesCS1A02G189500	K03217
TraesCS1A02G189600	K03217
TraesCS1A02G189900	K25841
TraesCS1A02G190100	K28557
TraesCS1A02G190200	K14500
TraesCS1A02G190300	K13525
TraesCS1A02G190400	K11252
TraesCS1A02G190800	K05605
TraesCS1A02G190900	K06934
TraesCS1A02G191400	K24611
TraesCS1A02G191700	K14496
TraesCS1A02G191800	K15109
TraesCS1A02G191900	K15109
TraesCS1A02G192300	K07562
TraesCS1A02G192400	K18158
TraesCS1A02G192500	K24825
TraesCS1A02G192700	K10756
TraesCS1A02G193000	K12493
TraesCS1A02G193200	K13422
TraesCS1A02G193300	K09533
TraesCS1A02G193400	K09338
TraesCS1A02G193600	K20403
TraesCS1A02G193700	K13448
TraesCS1A02G193900	K27505
TraesCS1A02G194000	K03966
TraesCS1A02G194100	K00913
TraesCS1A02G194400	K23542
TraesCS1A02G195200	K00630
TraesCS1A02G195300	K01890
TraesCS1A02G195900	K08235
TraesCS1A02G196100	K20924
TraesCS1A02G196300	K03039
TraesCS1A02G196600	K00968
TraesCS1A02G196700	K01904
TraesCS1A02G196800	K21989
TraesCS1A02G197300	K11352
TraesCS1A02G197400	K28583
TraesCS1A02G197600	K14638
TraesCS1A02G197700	K14638
TraesCS1A02G198000	K10666
TraesCS1A02G198100	K02208
TraesCS1A02G198300	K20989
TraesCS1A02G198400	K01358
TraesCS1A02G198900	K19996
TraesCS1A02G199000	K17973
TraesCS1A02G199300	K20628
TraesCS1A02G199400	K20628
TraesCS1A02G199500	K10577
TraesCS1A02G199600	K09264
TraesCS1A02G199800	K03104
TraesCS1A02G199900	K09264
TraesCS1A02G200100	K00430
TraesCS1A02G200200	K00430
TraesCS1A02G200500	K09287
TraesCS1A02G201300	K11254
TraesCS1A02G202000	K08472
TraesCS1A02G202100	K16297
TraesCS1A02G202300	K14803
TraesCS1A02G202500	K28174
TraesCS1A02G202600	K16297
TraesCS1A02G202800	K12158
TraesCS1A02G203000	K04523
TraesCS1A02G203200	K20628
TraesCS1A02G203400	K14500
TraesCS1A02G203600	K20547
TraesCS1A02G203700	K20547
TraesCS1A02G203900	K00799
TraesCS1A02G204200	K11804
TraesCS1A02G204700	K08242
TraesCS1A02G205200	K09493
TraesCS1A02G205300	K01102
TraesCS1A02G205400	K16075
TraesCS1A02G205700	K14423
TraesCS1A02G206000	K15691
TraesCS1A02G206200	K02197
TraesCS1A02G206400	K20889
TraesCS1A02G206700	K23288
TraesCS1A02G206900	K09837
TraesCS1A02G207700	K12600
TraesCS1A02G208200	K20628
TraesCS1A02G208500	K00826
TraesCS1A02G208900	K14574;K19882
TraesCS1A02G209100	K00318
TraesCS1A02G209400	K27747
TraesCS1A02G210300	K05605
TraesCS1A02G210400	K01087
TraesCS1A02G210500	K20888
TraesCS1A02G210800	K20456
TraesCS1A02G211000	K26549
TraesCS1A02G211600	K07447
TraesCS1A02G211900	K12396
TraesCS1A02G212000	K20628
TraesCS1A02G212200	K20628
TraesCS1A02G212300	K20628
TraesCS1A02G212400	K20628
TraesCS1A02G212600	K20628
TraesCS1A02G212800	K12604
TraesCS1A02G213000	K00873
TraesCS1A02G213100	K09008
TraesCS1A02G213800	K09497
TraesCS1A02G213900	K27686
TraesCS1A02G214300	K06199
TraesCS1A02G214500	K00430
TraesCS1A02G214600	K04078
TraesCS1A02G214700	K01193
TraesCS1A02G215000	K02903
TraesCS1A02G215100	K10663
TraesCS1A02G215200	K07342
TraesCS1A02G215300	K19042
TraesCS1A02G215400	K19525
TraesCS1A02G215500	K01177
TraesCS1A02G215600	K22684
TraesCS1A02G215700	K03115
TraesCS1A02G215800	K06268
TraesCS1A02G215900	K14498
TraesCS1A02G216200	K14396
TraesCS1A02G216800	K15153
TraesCS1A02G216900	K21444
TraesCS1A02G217200	K00940
TraesCS1A02G217300	K07304
TraesCS1A02G217400	K02214
TraesCS1A02G217700	K05894
TraesCS1A02G217800	K25164
TraesCS1A02G218000	K01074
TraesCS1A02G218100	K09286
TraesCS1A02G218400	K06174
TraesCS1A02G218500	K08286
TraesCS1A02G218600	K16818
TraesCS1A02G218700	K00600
TraesCS1A02G219200	K09338
TraesCS1A02G219500	K24193
TraesCS1A02G219800	K00652
TraesCS1A02G219900	K01869
TraesCS1A02G220000	K09286
TraesCS1A02G220200	K08343
TraesCS1A02G220600	K13508
TraesCS1A02G221000	K00058
TraesCS1A02G221900	K09286
TraesCS1A02G222100	K13525
TraesCS1A02G222200	K01227
TraesCS1A02G222600	K17479
TraesCS1A02G222800	K14293
TraesCS1A02G223200	K11363
TraesCS1A02G223300	K09834
TraesCS1A02G223400	K09286
TraesCS1A02G223800	K15306
TraesCS1A02G223900	K09537
TraesCS1A02G224000	K26736
TraesCS1A02G224700	K04040
TraesCS1A02G224800	K15304
TraesCS1A02G225000	K01490
TraesCS1A02G225100	K03348
TraesCS1A02G226300	K15115
TraesCS1A02G226400	K00535
TraesCS1A02G226700	K23877
TraesCS1A02G226900	K07052;K08658
TraesCS1A02G227100	K02927
TraesCS1A02G227300	K13435
TraesCS1A02G227600	K07203
TraesCS1A02G227700	K02684
TraesCS1A02G228300	K01115
TraesCS1A02G228700	K11252
TraesCS1A02G228800	K11253
TraesCS1A02G228900	K14839
TraesCS1A02G229000	K11253
TraesCS1A02G229100	K11252
TraesCS1A02G229300	K01188;K05350
TraesCS1A02G229900	K12890
TraesCS1A02G230000	K09518
TraesCS1A02G230400	K08678
TraesCS1A02G230500	K01054;K18368
TraesCS1A02G230600	K11498
TraesCS1A02G231100	K10527
TraesCS1A02G231200	K09286
TraesCS1A02G231500	K01051
TraesCS1A02G231900	K00963
TraesCS1A02G232000	K00949
TraesCS1A02G232700	K02987
TraesCS1A02G233200	K13280
TraesCS1A02G233400	K03027
TraesCS1A02G233600	K20292
TraesCS1A02G233700	K02078;K03955
TraesCS1A02G233800	K16903
TraesCS1A02G234200	K14411
TraesCS1A02G234600	K25108
TraesCS1A02G234700	K00844
TraesCS1A02G234800	K00279
TraesCS1A02G234900	K09527
TraesCS1A02G235000	K03265
TraesCS1A02G235100	K00901
